image_id,caption_len,n_layers,residual_ratio,head_tail_ratio,model_id,prompt_key,caption_ref
000000000139,7,24,0.1988988593636715,0.6207045817138729,HuggingFaceTB/SmolVLM-Instruct,caption_short,Woman standing in dining room.
000000000285,3,24,nan,nan,HuggingFaceTB/SmolVLM-Instruct,caption_short,Brown bear.
000000000632,11,24,0.1694193891525,0.16998088138572268,HuggingFaceTB/SmolVLM-Instruct,caption_short,Bedroom with books and a tree outside the window.
000000000724,10,24,0.27335601002951143,0.3761897350043635,HuggingFaceTB/SmolVLM-Instruct,caption_short,Stop sign in the middle of an empty street.
000000000776,8,24,0.10673546067099983,0.19914865822983982,HuggingFaceTB/SmolVLM-Instruct,caption_short,Three teddy bears hugging each other.
000000000785,8,24,0.19741488601502075,0.4099562828811605,HuggingFaceTB/SmolVLM-Instruct,caption_short,Woman skiing down a snowy hill.
000000000802,3,24,nan,nan,HuggingFaceTB/SmolVLM-Instruct,caption_short,Kitchen.
000000000872,8,24,0.18405579015115564,0.3759566481987217,HuggingFaceTB/SmolVLM-Instruct,caption_short,Baseball player catches baseball in field.
000000000885,12,24,0.5736765170587526,0.9611690585965749,HuggingFaceTB/SmolVLM-Instruct,caption_short,Man playing tennis in front of J.P. Morgan.
000000001000,6,24,0.03543924092488256,0.18370662807630683,HuggingFaceTB/SmolVLM-Instruct,caption_short,Tennis group holding trophy.
000000001268,9,24,0.3082311382166371,0.556961933466521,HuggingFaceTB/SmolVLM-Instruct,caption_short,Woman on sidewalk watching a swan.
000000001296,15,24,0.529819652912175,0.5634217340151928,HuggingFaceTB/SmolVLM-Instruct,caption_short,A girl looking at her cell phone that says hello kitty on it.
000000001353,11,24,0.5974839356702988,1.2369774124528263,HuggingFaceTB/SmolVLM-Instruct,caption_short,The children are on the train on the train track.
000000001425,8,24,0.11808488727685709,0.223159964742788,HuggingFaceTB/SmolVLM-Instruct,caption_short,Picture of a sandwich on a plate.
000000001490,4,24,nan,nan,HuggingFaceTB/SmolVLM-Instruct,caption_short,Person paddleboarding.
000000001503,9,24,0.13323919642560902,0.1921510465692361,HuggingFaceTB/SmolVLM-Instruct,caption_short,Computer desk with computer and laptop on it.
000000001532,9,24,0.32942455854039104,0.6140706514380928,HuggingFaceTB/SmolVLM-Instruct,caption_short,Highway under signs with cars driving underneath.
000000001584,11,24,0.49270922333591854,0.8093800209548941,HuggingFaceTB/SmolVLM-Instruct,caption_short,Red double-decker bus is on the road.
000000001675,4,24,nan,nan,HuggingFaceTB/SmolVLM-Instruct,caption_short,Cat in oven.
000000001761,9,24,0.4920333447540325,1.2107914458375724,HuggingFaceTB/SmolVLM-Instruct,caption_short,Airplanes flying above the Sydney Opera House.
000000001818,13,24,0.5905212725818726,0.9013308156220756,HuggingFaceTB/SmolVLM-Instruct,caption_short,Black and white image of a zebra suckling her foal.
000000001993,15,24,0.5636789120113364,0.6459450706471258,HuggingFaceTB/SmolVLM-Instruct,caption_short,"Bedroom with a bed, table, lamp, chair and glass door."
000000002006,7,24,0.12060067187877398,0.3428495679443738,HuggingFaceTB/SmolVLM-Instruct,caption_short,Purple bus on the street.
000000002149,5,24,nan,nan,HuggingFaceTB/SmolVLM-Instruct,caption_short,Green apples in bowl.
000000002153,8,24,0.4581990635726878,1.4094938834734416,HuggingFaceTB/SmolVLM-Instruct,caption_short,Baseball batter getting ready to swing.
000000002157,8,24,0.3129022727245428,0.7589950703841689,HuggingFaceTB/SmolVLM-Instruct,caption_short,Table with food and cake on it.
000000002261,13,24,0.49907818003896565,0.622699691038848,HuggingFaceTB/SmolVLM-Instruct,caption_short,A man surfing on a boogie board in the ocean.
000000002299,15,24,0.4893327087331837,0.47911107398252617,HuggingFaceTB/SmolVLM-Instruct,caption_short,Black and white group photo of children posing in front of a brick building.
000000002431,9,24,0.4976511910913168,1.2383108665382039,HuggingFaceTB/SmolVLM-Instruct,caption_short,Tray of bread with knife and glass.
000000002473,9,24,0.4136623453246766,0.881877408917513,HuggingFaceTB/SmolVLM-Instruct,caption_short,Skier with colorful outfit in mid air.
000000002532,7,24,0.13872855065966058,0.4026853286670388,HuggingFaceTB/SmolVLM-Instruct,caption_short,Man skiing in a snowy mountain.
000000002587,9,24,0.4058053699636227,0.8536878100420958,HuggingFaceTB/SmolVLM-Instruct,caption_short,Donut and banana are in plastic bag.
000000002592,15,24,0.6222952472851105,0.8237853016306237,HuggingFaceTB/SmolVLM-Instruct,caption_short,White coffee mug with pirate skull and crossbones next to a knife.
000000002685,12,24,0.5698443435912587,0.9462427563825587,HuggingFaceTB/SmolVLM-Instruct,caption_short,Several people in a wine shop looking at a wine display.
000000002923,6,24,0.3018368475810907,2.1616497987277308,HuggingFaceTB/SmolVLM-Instruct,caption_short,Grass field with birds.
000000003156,14,24,0.394882995500476,0.36254053400160485,HuggingFaceTB/SmolVLM-Instruct,caption_short,Man is in the bathroom and has his hands in his pants pocket.
000000003255,6,24,0.11021868533642919,0.6193582823106554,HuggingFaceTB/SmolVLM-Instruct,caption_short,Many people on snowy mountain.
000000003501,10,24,0.39254704800967694,0.6462180268010789,HuggingFaceTB/SmolVLM-Instruct,caption_short,"White bowl with rice, broccoli, and soup."
000000003553,7,24,0.158004514312069,0.4691370589207359,HuggingFaceTB/SmolVLM-Instruct,caption_short,Person skateboarding on wooden ramp.
000000003661,5,24,nan,nan,HuggingFaceTB/SmolVLM-Instruct,caption_short,Three bananas on table.
000000003845,6,24,0.09883344103570489,0.5483638959555576,HuggingFaceTB/SmolVLM-Instruct,caption_short,Plate of chicken and rice.
000000003934,10,24,0.44501988887901245,0.8018663731572834,HuggingFaceTB/SmolVLM-Instruct,caption_short,Woman playing wii with men in background.
000000004134,10,24,0.5391218218468161,1.169770771111723,HuggingFaceTB/SmolVLM-Instruct,caption_short,Asian man shakes hand with man in suit.
000000004395,11,24,0.4071681479136285,0.5723491218190974,HuggingFaceTB/SmolVLM-Instruct,caption_short,"Asian man in shirt and tie, hand to face."
000000004495,9,24,0.19316604520290037,0.29926548711543327,HuggingFaceTB/SmolVLM-Instruct,caption_short,Television and chair in room with whiteboard.
000000004765,7,24,0.10374110700530381,0.28937260153333205,HuggingFaceTB/SmolVLM-Instruct,caption_short,Man surfing in a rough sea.
000000004795,7,24,0.14995185489888663,0.44100988797831514,HuggingFaceTB/SmolVLM-Instruct,caption_short,Black cat staring at computer monitor.
000000005001,14,24,0.5963973834657621,0.8209359060859657,HuggingFaceTB/SmolVLM-Instruct,caption_short,Photograph of several adults cutting a ribbon in front of a store.
000000005037,8,24,0.44921892725973717,1.3593390353350667,HuggingFaceTB/SmolVLM-Instruct,caption_short,Bus with first group written on front.
000000005060,9,24,0.4281306689391777,0.9358140174806012,HuggingFaceTB/SmolVLM-Instruct,caption_short,A man sitting in front of a mirror.
