image_id,caption_len,n_layers,residual_ratio,head_tail_ratio,model_id,prompt_key,caption_ref
000000000139,200,28,0.8412779092728686,0.13590564705941555,Qwen/Qwen2.5-VL-7B-Instruct,caption_medium,"The image depicts an interior space featuring a modern and colorful design. A bright yellow wall serves as the backdrop for two large windows, each framed by white molding with plants positioned neatly on the window sills. The floor is polished wood, complementing the warm tones of the room's decor.

In the foreground, there's a flat-screen TV mounted on a wooden stand with storage compartments below it. To the right, part of a round table with red chairs is visible; someone is seated at this table, appearing to engage with another individual who stands near them, possibly having a conversation. A kitchen area can also be seen beyond the dining area, identifiable by its cabinetry, refrigerator, and countertop, suggesting a functional yet stylish integration between the living areas.

On the far-right side of the frame, a fireplace with a black surround adds contrast against the adjacent green accent wall. Above the mantel hangs a rectangular object, potentially decorative art or shelving. A person wearing a dark-colored top appears"
000000000285,104,28,0.8269037969213766,0.24126940558807483,Qwen/Qwen2.5-VL-7B-Instruct,caption_medium,"The image shows a close-up of a large brown bear, prominently displayed against a backdrop of green grass and some exposed soil or rocks near its nose area. The bear's fur appears thick and well-suited for its environment, with darker shades around its muzzle contrasting with lighter tones on other parts of its face. Its facial expression is calm, suggesting it might be resting or observing something calmly. There are no other animals or notable human-made objects in the frame; the focus remains solely on the bear and its immediate surroundings."
000000000632,133,28,0.887835093072276,0.30919704988908264,Qwen/Qwen2.5-VL-7B-Instruct,caption_medium,"The image depicts a cozy bedroom with floral wallpaper and a large window that offers a view of lush green trees outside. The room features a neatly made bed covered with blue bedding at the forefront, positioned slightly left-center. To the right is a bookshelf filled with books, accompanied by a wicker basket beneath it. A wooden dresser sits near the window on the left side, adorned with decorative items including what appears to be a framed picture and a small potted plant atop its surface. Sunlight streams through the window, illuminating parts of the room, while shadows fall elsewhere, creating contrast across the space. There's no apparent movement as all elements appear stationary."
000000000724,98,28,0.719550149218154,0.13794085390168914,Qwen/Qwen2.5-VL-7B-Instruct,caption_medium,"The image depicts an upside-down stop sign with ""STOP"" reversed vertically on it, standing prominently at an intersection or roadway entrance. The background includes lush greenery such as trees and shrubs, alongside buildings that appear residential or commercial. The sky is mostly clear, suggesting fair weather conditions. There's no visible activity indicating people, vehicles, or animals interacting directly within this scene; however, one can infer the importance of traffic regulation based on the presence of the unconventional yet recognizable stop sign."
000000000776,141,28,0.8872217925158304,0.28922651797633026,Qwen/Qwen2.5-VL-7B-Instruct,caption_medium,"The image shows several stuffed teddy bears gathered together, primarily in shades of brown and tan. Two bears dominate most of the frame: one is positioned on the left side, slightly angled towards the center, while another occupies a large portion of the right side with its head turned forward. A third bear sits underneath the two, partially obscured by them but still visible enough to identify as similar in appearance to the others. The background suggests an indoor environment, likely a couch or sofa due to the texture resembling fabric. There's no discernible action taking place; it appears more like a still-life composition capturing the cozy arrangement of these plush toys. No text or additional elements are present within this close-up shot."
000000000785,200,28,0.9512627349723504,0.50046616618599,Qwen/Qwen2.5-VL-7B-Instruct,caption_medium,"The main subject of this image is an individual skiing on snow-covered terrain. They are dressed warmly for winter weather, wearing a red jacket with black detailing, black ski pants, and blue ski boots secured onto white skis. The person has a striped beanie hat on their head, which covers their long hair flowing behind them as they navigate through the slope. In both hands, they hold ski poles for balance and steering.

The setting appears to be a snowy, open landscape typical of a ski resort, possibly a beginner trail given the lack of prominent obstacles and the smoothness of the ground where the skier’s tracks have been made. There's a faint outline of what seems to be a fence line at the top left corner, indicating boundaries within the skiing area. The sky above is overcast with light gray clouds suggesting cloudy conditions but providing enough brightness to illuminate the scene clearly.

There's no indication of other people close by, implying either a solitary session or sufficient distance between individuals in the area"
000000000802,145,28,0.9014578209191326,0.32671209908259696,Qwen/Qwen2.5-VL-7B-Instruct,caption_medium,"The image depicts a kitchen space with a white refrigerator positioned on the right-hand side, featuring both a standard freezer compartment at its base and an upper section with a water dispenser. To the left of the refrigerator is a white electric stove with four burners, accompanied by an oven drawer underneath it. The cabinets above and below the appliances consist mainly of wood-toned panels with a simple design, providing storage for kitchen essentials. The floor appears tiled with square tiles arranged neatly throughout the area, and the walls exhibit a light peach or tan hue that complements the warm tones of the cabinetry. There's no visible activity occurring within this scene; it portrays a static view of a functional kitchen setup designed for cooking and food preparation."
000000000872,131,28,0.7557994836979639,0.12281727925092603,Qwen/Qwen2.5-VL-7B-Instruct,caption_medium,"The image captures two individuals on what appears to be a baseball field. The person in the foreground is wearing a white jersey with gray pants, a blue helmet, and black gloves, seemingly running across first base. The second individual, slightly out of focus, stands behind them, dressed in green attire with a baseball glove, likely representing the defensive position of either a catcher or a baseman. Both figures are engaged in play on a dirt infield area surrounded by grass. In the background, there's dense vegetation including trees and shrubs, indicating an outdoor, possibly suburban environment. The scene suggests an informal game rather than professional settings due to their attire and surroundings."
000000000885,178,28,0.8987332083406564,0.2565001595519728,Qwen/Qwen2.5-VL-7B-Instruct,caption_medium,"The central focus of the image is a male tennis player positioned on an outdoor clay court. He appears mid-action, possibly after hitting or about to hit the ball with his red-framed racket held prominently across his body. His attire consists of white shorts, a dark top, and a white cap worn backwards, along with a white wristband. Behind him stands another individual who seems to be a ball girl, dressed in navy blue with her hair tied back under a visor, attentively observing the play.

The background reveals signage for J.P. Morgan and Polo Ralph Lauren sponsors associated with what looks like a professional tennis tournament. The bright, sunny day suggests good weather conditions for playing outdoors. Another figure can also be seen near the right edge of the frame; they appear smaller due to their distance but may be a line judge or part of the tournament staff involved in monitoring gameplay closely."
000000001000,103,28,0.8353804649793508,0.2589088366062911,Qwen/Qwen2.5-VL-7B-Instruct,caption_medium,"The image shows a group of children standing on an outdoor tennis court, posing for a photo with their coach. The coach is wearing a red shirt and appears to be holding a trophy, suggesting they have participated in a competition. Some children are wearing sports attire, while others wear casual clothing. A net runs across the background, enclosing the court area, indicating this location could be used for tennis practice or matches. The setting has greenery surrounding it, giving it a natural environment suitable for outdoor activities such as tennis."
