2026-05-29T11:34:32 INFO __main__ :: Run dir: /aluno/aluno_stephany/repos/VR-Modality-Bias/results/runs/baseline_smolvlm256_mscoco_short_2026-05-29_113423
2026-05-29T11:34:32 INFO __main__ :: Loading model HuggingFaceTB/SmolVLM-256M-Instruct on cuda (dtype=torch.float16)…
2026-05-29T11:34:35 INFO __main__ :: Loaded. n_layers=30
2026-05-29T11:34:35 INFO __main__ :: Loaded 30 reference captions.
2026-05-29T11:34:35 INFO __main__ :: [000000000139] saved (time=0.36 s, vram_peak=619.48 MB, disk=7.99 MB)
2026-05-29T11:34:35 INFO __main__ :: [000000000285] saved (time=0.22 s, vram_peak=619.48 MB, disk=7.78 MB)
2026-05-29T11:34:35 INFO __main__ :: [000000000632] saved (time=0.22 s, vram_peak=619.49 MB, disk=8.14 MB)
2026-05-29T11:34:36 INFO __main__ :: [000000000724] saved (time=0.21 s, vram_peak=619.48 MB, disk=7.78 MB)
2026-05-29T11:34:36 INFO __main__ :: [000000000776] saved (time=0.19 s, vram_peak=619.48 MB, disk=7.99 MB)
2026-05-29T11:34:36 INFO __main__ :: [000000000785] saved (time=0.22 s, vram_peak=619.49 MB, disk=8.14 MB)
2026-05-29T11:34:36 INFO __main__ :: [000000000802] saved (time=0.21 s, vram_peak=619.48 MB, disk=8.02 MB)
2026-05-29T11:34:36 INFO __main__ :: [000000000872] saved (time=0.20 s, vram_peak=619.49 MB, disk=8.23 MB)
2026-05-29T11:34:37 INFO __main__ :: [000000000885] saved (time=0.20 s, vram_peak=619.50 MB, disk=8.79 MB)
2026-05-29T11:34:37 INFO __main__ :: [000000001000] saved (time=0.21 s, vram_peak=619.50 MB, disk=8.97 MB)
2026-05-29T11:34:37 INFO __main__ :: [000000001268] saved (time=0.20 s, vram_peak=619.49 MB, disk=8.30 MB)
2026-05-29T11:34:37 INFO __main__ :: [000000001296] saved (time=0.20 s, vram_peak=619.49 MB, disk=8.41 MB)
2026-05-29T11:34:37 INFO __main__ :: [000000001353] saved (time=0.20 s, vram_peak=619.50 MB, disk=8.90 MB)
2026-05-29T11:34:38 INFO __main__ :: [000000001425] saved (time=0.19 s, vram_peak=619.48 MB, disk=7.99 MB)
2026-05-29T11:34:38 INFO __main__ :: [000000001490] saved (time=0.19 s, vram_peak=619.49 MB, disk=8.30 MB)
2026-05-29T11:34:38 INFO __main__ :: [000000001503] saved (time=0.20 s, vram_peak=619.48 MB, disk=7.54 MB)
2026-05-29T11:34:38 INFO __main__ :: [000000001532] saved (time=0.19 s, vram_peak=619.48 MB, disk=7.99 MB)
2026-05-29T11:34:38 INFO __main__ :: [000000001584] saved (time=0.20 s, vram_peak=619.50 MB, disk=8.84 MB)
2026-05-29T11:34:39 INFO __main__ :: [000000001675] saved (time=0.19 s, vram_peak=619.48 MB, disk=7.99 MB)
2026-05-29T11:34:39 INFO __main__ :: [000000001761] saved (time=0.21 s, vram_peak=619.48 MB, disk=7.84 MB)
2026-05-29T11:34:39 INFO __main__ :: [000000001818] saved (time=0.19 s, vram_peak=619.48 MB, disk=7.99 MB)
2026-05-29T11:34:39 INFO __main__ :: [000000001993] saved (time=0.21 s, vram_peak=619.48 MB, disk=8.02 MB)
2026-05-29T11:34:39 INFO __main__ :: [000000002006] saved (time=0.22 s, vram_peak=619.49 MB, disk=8.14 MB)
2026-05-29T11:34:40 INFO __main__ :: [000000002149] saved (time=0.20 s, vram_peak=619.48 MB, disk=7.60 MB)
2026-05-29T11:34:40 INFO __main__ :: [000000002153] saved (time=0.20 s, vram_peak=619.50 MB, disk=8.66 MB)
2026-05-29T11:34:40 INFO __main__ :: [000000002157] saved (time=0.21 s, vram_peak=619.48 MB, disk=7.84 MB)
2026-05-29T11:34:40 INFO __main__ :: [000000002261] saved (time=0.21 s, vram_peak=619.48 MB, disk=7.66 MB)
2026-05-29T11:34:40 INFO __main__ :: [000000002299] saved (time=0.21 s, vram_peak=619.49 MB, disk=8.14 MB)
2026-05-29T11:34:41 INFO __main__ :: [000000002431] saved (time=0.22 s, vram_peak=619.49 MB, disk=8.08 MB)
2026-05-29T11:34:41 INFO __main__ :: [000000002473] saved (time=0.21 s, vram_peak=619.48 MB, disk=7.72 MB)
2026-05-29T11:34:41 INFO __main__ :: scripts/04 rollup — 30 pair(s), total=6.31 s, median/pair=0.20 s, VRAM peak=619.50 MB, disk total=243.79 MB (median/pair=8.02 MB)
