"position","token","kl_deep","kl_norm"
"0","The","2.392873","1.000000"
"1"," image","0.460998","0.192129"
"2"," showcases","0.160505","0.066469"
"3"," an","0.055124","0.022400"
"4"," office","0.298715","0.124265"
"5"," or","0.057904","0.023563"
"6"," workstation","0.090776","0.037309"
"7"," setup","0.041166","0.016563"
"8"," featuring","0.040544","0.016303"
"9"," two","0.067754","0.027682"
"10"," primary","0.173189","0.071773"
"11"," computer","0.166090","0.068804"
"12"," devices","0.180527","0.074841"
"13",":","0.252971","0.105136"
"14"," one","0.217249","0.090198"
"15"," laptop","0.211058","0.087609"
"16"," and","0.016990","0.006454"
"17"," one","0.327720","0.136394"
"18"," desktop","0.009466","0.003307"
"19"," PC","0.306292","0.127434"
"20",".","0.059072","0.024051"
"21"," The","0.025413","0.009976"
"22"," desk","0.042003","0.016914"
"23"," appears","0.014804","0.005539"
"24"," to","0.038611","0.015495"
"25"," be","0.042521","0.017130"
"26"," made","0.052229","0.021190"
"27"," from","0.274164","0.113998"
"28"," polished","0.113119","0.046653"
"29"," wood","0.121400","0.050116"
"30"," or","0.056658","0.023042"
"31"," a","0.069717","0.028503"
"32"," wood","0.396216","0.165038"
"33","-like","0.175240","0.072630"
"34"," material","0.071232","0.029137"
"35"," with","0.127874","0.052823"
"36"," a","0.041980","0.016904"
"37"," light","0.106818","0.044018"
"38"," gray","0.045697","0.018458"
"39"," or","0.058788","0.023933"
"40"," beige","0.070278","0.028737"
"41"," surface","0.067466","0.027562"
"42"," that","0.019371","0.007449"
"43"," blends","0.284358","0.118262"
"44"," subtly","0.566441","0.236223"
"45"," into","0.184807","0.076631"
"46"," its","0.100836","0.041516"
"47"," surroundings","0.204616","0.084915"
"48",".

","0.027647","0.010910"
"49","On","0.214824","0.089184"
"50"," the","0.015348","0.005767"
"51"," left","0.027284","0.010758"
"52"," side","0.013835","0.005134"
"53"," of","0.033791","0.013479"
"54"," the","0.009388","0.003275"
"55"," desk","0.064529","0.026333"
"56"," sits","0.027457","0.010831"
"57"," a","0.034109","0.013612"
"58"," silver","0.262637","0.109178"
"59","-colored","0.099660","0.041024"
"60"," MacBook","0.182291","0.075579"
"61",",","0.031148","0.012374"
"62"," identifiable","0.042197","0.016994"
"63"," by","0.068178","0.027859"
"64"," its","0.099749","0.041062"
"65"," distinctive","0.076074","0.031161"
"66"," curved","0.037223","0.014914"
"67"," edge","0.142557","0.058963"
"68"," on","0.031220","0.012404"
"69"," the","0.075418","0.030887"
"70"," lid","0.054882","0.022299"
"71"," which","0.012846","0.004721"
"72"," is","0.061857","0.025216"
"73"," partially","0.056962","0.023169"
"74"," open","0.222715","0.092483"
"75",",","0.029733","0.011782"
"76"," revealing","0.109977","0.045339"
"77"," the","0.020881","0.008081"
"78"," screen","0.024883","0.009754"
"79"," displaying","0.035138","0.014043"
"80"," what","0.029378","0.011634"
"81"," seems","0.030183","0.011971"
"82"," like","0.035081","0.014019"
"83"," text","0.031907","0.012691"
"84"," or","0.029659","0.011751"
"85"," software","0.034710","0.013864"
"86"," interface","0.017224","0.006552"
"87"," elements","0.025208","0.009890"
"88",".","0.049879","0.020207"
"89"," The","0.030115","0.011942"
"90"," laptop","0.008672","0.002975"
"91"," has","0.016715","0.006339"
"92"," a","0.009895","0.003486"
"93"," compact","0.131548","0.054360"
"94"," keyboard","0.019100","0.007336"
"95"," layout","0.007619","0.002535"
"96"," typical","0.014987","0.005616"
"97"," of","0.024673","0.009667"
"98"," Apple","0.040268","0.016188"
"99","'s","0.147110","0.060867"
"100"," design","0.044332","0.017888"
"101"," and","0.029343","0.011619"
"102"," is","0.019585","0.007539"
"103"," paired","0.066965","0.027352"
"104"," with","0.026749","0.010535"
"105"," a","0.021331","0.008269"
"106"," white","0.078182","0.032043"
"107"," Magic","0.041459","0.016686"
"108"," Mouse","0.051289","0.020797"
"109"," positioned","0.023964","0.009370"
"110"," nearby","0.018685","0.007162"
"111",",","0.011725","0.004252"
"112"," hint","0.050736","0.020566"
"113","ing","0.039638","0.015924"
"114"," at","0.038345","0.015384"
"115"," the","0.031386","0.012474"
"116"," user","0.017868","0.006821"
"117","’s","0.026677","0.010504"
"118"," preference","0.039162","0.015726"
"119"," for","0.030251","0.011999"
"120"," Apple","0.033159","0.013215"
"121"," products","0.113546","0.046831"
"122",".","0.008367","0.002847"
"123"," A","0.029764","0.011795"
"124"," slim","0.077250","0.031653"
"125"," speaker","0.222953","0.092583"
"126"," is","0.038626","0.015501"
"127"," tucked","0.014977","0.005612"
"128"," beneath","0.045424","0.018344"
"129"," the","0.023542","0.009193"
"130"," laptop","0.056456","0.022957"
"131",",","0.026249","0.010326"
"132"," adding","0.106970","0.044081"
"133"," a","0.024934","0.009776"
"134"," modern","0.025457","0.009994"
"135"," touch","0.016991","0.006454"
"136",".

","0.005889","0.001811"
